startDateTime,endDateTime,location,roomNumber
2014-09-02 10:10:00,2014-09-02 11:00:00,412 - Greenfield Office,1
2014-09-02 11:00:00,2014-09-02 12:00:00,591 - Holyoke,1
2014-09-02 12:00:00,2014-09-02 12:50:00,412 - Greenfield Office,1
2014-09-02 18:00:00,2014-09-02 19:00:00,412 - Greenfield Office,1
2014-09-02 18:15:00,2014-09-02 19:00:00,413 - Athol Outreach,1
2014-09-03 08:00:00,2014-09-03 08:45:00,591 - Holyoke,1
2014-09-03 09:00:00,2014-09-03 09:45:00,591 - Holyoke,1
2014-09-03 10:15:00,2014-09-03 11:00:00,510 - Pittsfield,1
2014-09-03 10:30:00,2014-09-03 11:15:00,591 - Holyoke,1
2014-09-03 12:00:00,2014-09-03 12:45:00,510 - Pittsfield,1
2014-09-03 13:00:00,2014-09-03 13:45:00,510 - Pittsfield,1
2014-09-03 14:00:00,2014-09-03 14:50:00,412 - Greenfield Office,1
2014-09-03 14:00:00,2014-09-03 14:45:00,510 - Pittsfield,1
2014-09-03 15:00:00,2014-09-03 15:45:00,591 - Holyoke,1
2014-09-03 15:00:00,2014-09-03 15:45:00,510 - Pittsfield,1
2014-09-03 16:00:00,2014-09-03 16:45:00,510 - Pittsfield,1
2014-09-03 16:30:00,2014-09-03 17:15:00,591 - Holyoke,1
2014-09-03 16:45:00,2014-09-03 17:30:00,510 - Pittsfield,1
2014-09-03 17:30:00,2014-09-03 18:15:00,510 - Pittsfield,1
2014-09-03 18:00:00,2014-09-03 19:00:00,412 - Greenfield Office,1
2014-09-04 10:00:00,2014-09-04 10:50:00,412 - Greenfield Office,1
2014-09-04 10:45:00,2014-09-04 11:45:00,591 - Holyoke,1
2014-09-04 11:00:00,2014-09-04 11:50:00,412 - Greenfield Office,1
2014-09-04 15:00:00,2014-09-04 15:45:00,413 - Athol Outreach,1
2014-09-05 10:00:00,2014-09-05 11:00:00,412 - Greenfield Office,1
2014-09-05 10:15:00,2014-09-05 11:00:00,510 - Pittsfield,1
2014-09-05 11:00:00,2014-09-05 11:50:00,412 - Greenfield Office,1
2014-09-05 12:00:00,2014-09-05 12:50:00,412 - Greenfield Office,1
2014-09-05 13:00:00,2014-09-05 13:50:00,412 - Greenfield Office,1
2014-09-07 18:00:00,2014-09-07 18:45:00,413 - Athol Outreach,1
2014-09-08 09:30:00,2014-09-08 10:15:00,510 - Pittsfield,1
2014-09-08 10:15:00,2014-09-08 11:00:00,510 - Pittsfield,1
2014-09-08 11:00:00,2014-09-08 12:00:00,412 - Greenfield Office,1
2014-09-08 12:00:00,2014-09-08 12:45:00,411 - Amherst Office,1
2014-09-08 12:15:00,2014-09-08 13:00:00,510 - Pittsfield,1
2014-09-08 13:00:00,2014-09-08 13:45:00,510 - Pittsfield,1
2014-09-08 14:00:00,2014-09-08 15:00:00,412 - Greenfield Office,1
2014-09-08 14:00:00,2014-09-08 14:45:00,510 - Pittsfield,1
2014-09-08 15:00:00,2014-09-08 16:00:00,412 - Greenfield Office,1
2014-09-08 16:00:00,2014-09-08 17:00:00,412 - Greenfield Office,1
2014-09-08 16:00:00,2014-09-08 16:45:00,510 - Pittsfield,1
2014-09-08 16:45:00,2014-09-08 17:30:00,510 - Pittsfield,1
2014-09-08 17:30:00,2014-09-08 18:15:00,510 - Pittsfield,1
2014-09-09 10:10:00,2014-09-09 11:00:00,412 - Greenfield Office,1
2014-09-09 11:00:00,2014-09-09 12:00:00,591 - Holyoke,1
2014-09-09 11:00:00,2014-09-09 11:50:00,412 - Greenfield Office,1
2014-09-09 12:00:00,2014-09-09 12:50:00,412 - Greenfield Office,1
2014-09-09 13:00:00,2014-09-09 13:45:00,591 - Holyoke,1
2014-09-09 16:30:00,2014-09-09 17:20:00,411 - Amherst Office,1
2014-09-09 17:00:00,2014-09-09 18:00:00,412 - Greenfield Office,1
2014-09-10 09:00:00,2014-09-10 09:45:00,591 - Holyoke,1
2014-09-10 09:10:00,2014-09-10 10:00:00,411 - Amherst Office,1
2014-09-10 09:45:00,2014-09-10 10:30:00,591 - Holyoke,1
2014-09-10 10:00:00,2014-09-10 11:00:00,411 - Amherst Office,1
2014-09-10 10:15:00,2014-09-10 11:00:00,510 - Pittsfield,1
2014-09-10 11:00:00,2014-09-10 12:00:00,411 - Amherst Office,1
2014-09-10 11:00:00,2014-09-10 11:45:00,591 - Holyoke,1
2014-09-10 11:00:00,2014-09-10 11:45:00,510 - Pittsfield,1
2014-09-10 12:00:00,2014-09-10 12:45:00,510 - Pittsfield,1
2014-09-10 13:00:00,2014-09-10 13:50:00,412 - Greenfield Office,1
2014-09-10 14:30:00,2014-09-10 15:15:00,510 - Pittsfield,1
2014-09-10 15:15:00,2014-09-10 16:00:00,510 - Pittsfield,1
2014-09-10 16:00:00,2014-09-10 16:45:00,411 - Amherst Office,1
2014-09-10 16:00:00,2014-09-10 16:45:00,510 - Pittsfield,1
2014-09-10 17:00:00,2014-09-10 17:45:00,510 - Pittsfield,1
2014-09-10 18:00:00,2014-09-10 19:00:00,412 - Greenfield Office,1
2014-09-11 10:45:00,2014-09-11 11:45:00,591 - Holyoke,1
2014-09-11 11:00:00,2014-09-11 11:50:00,412 - Greenfield Office,1
